countyID,LKType,LKName
10043,LK,Neunkirchen
9374,LK,Neustadt a.d.Waldnaab
7316,SK,Neustadt a.d.Weinstraße
9575,LK,Neustadt/Aisch-Bad Windsheim
7138,LK,Neuwied
3256,LK,Nienburg (Weser)
1054,LK,Nordfriesland
16062,LK,Nordhausen
14730,LK,Nordsachsen
13074,LK,Nordwestmecklenburg
3155,LK,Northeim
9564,SK,Nürnberg
9574,LK,Nürnberger Land
9780,LK,Oberallgäu
5374,LK,Oberbergischer Kreis
5119,SK,Oberhausen
12065,LK,Oberhavel
12066,LK,Oberspreewald-Lausitz
6437,LK,Odenwaldkreis
12067,LK,Oder-Spree
6438,LK,Offenbach
6413,SK,Offenbach
3458,LK,Oldenburg
3403,SK,Oldenburg
5966,LK,Olpe
8317,LK,Ortenaukreis
3459,LK,Osnabrück
3404,SK,Osnabrück
8136,LK,Ostalbkreis
9777,LK,Ostallgäu
3356,LK,Osterholz
1055,LK,Ostholstein
12068,LK,Ostprignitz-Ruppin
5774,LK,Paderborn
9262,SK,Passau
9275,LK,Passau
3157,LK,Peine
9186,LK,Pfaffenhofen a.d.Ilm
8231,SK,Pforzheim
1056,LK,Pinneberg
7317,SK,Pirmasens
1057,LK,Plön
12054,SK,Potsdam
12069,LK,Potsdam-Mittelmark
12070,LK,Prignitz
8216,LK,Rastatt
8436,LK,Ravensburg
5562,LK,Recklinghausen
9276,LK,Regen
9375,LK,Regensburg
9362,SK,Regensburg
8119,LK,Rems-Murr-Kreis
5120,SK,Remscheid
1058,LK,Rendsburg-Eckernförde
8415,LK,Reutlingen
5362,LK,Rhein-Erft-Kreis
7140,LK,Rhein-Hunsrück-Kreis
5162,LK,Rhein-Kreis Neuss
7141,LK,Rhein-Lahn-Kreis
8226,LK,Rhein-Neckar-Kreis
7338,LK,Rhein-Pfalz-Kreis
5382,LK,Rhein-Sieg-Kreis
6439,LK,Rheingau-Taunus-Kreis
5378,LK,Rheinisch-Bergischer Kreis
9673,LK,Rhön-Grabfeld
9163,SK,Rosenheim
9187,LK,Rosenheim
13072,LK,Rostock
13003,SK,Rostock
3357,LK,Rotenburg (Wümme)
9576,LK,Roth
9277,LK,Rottal-Inn
8325,LK,Rottweil
16074,LK,Saale-Holzland-Kreis
16075,LK,Saale-Orla-Kreis
15088,LK,Saalekreis
16073,LK,Saalfeld-Rudolstadt
10045,LK,Saar-Pfalz-Kreis
10044,LK,Saarlouis
14628,LK,Sächsische Schweiz-Osterzgebirge
3102,SK,Salzgitter
15089,LK,Salzlandkreis
10046,LK,Sankt Wendel
3257,LK,Schaumburg
1059,LK,Schleswig-Flensburg
16066,LK,Schmalkalden-Meiningen
9565,SK,Schwabach
8127,LK,Schwäbisch Hall
6634,LK,Schwalm-Eder-Kreis
9376,LK,Schwandorf
8326,LK,Schwarzwald-Baar-Kreis
9678,LK,Schweinfurt
9662,SK,Schweinfurt
13004,SK,Schwerin
1060,LK,Segeberg
5970,LK,Siegen-Wittgenstein
8437,LK,Sigmaringen
5974,LK,Soest
5122,SK,Solingen
16068,LK,Sömmerda
16072,LK,Sonneberg
7318,SK,Speyer
12071,LK,Spree-Neiße
3359,LK,Stade
10041,LK,Stadtverband Saarbrücken
9188,LK,Starnberg
1061,LK,Steinburg
5566,LK,Steinfurt
15090,LK,Stendal
1062,LK,Stormarn
9263,SK,Straubing
9278,LK,Straubing-Bogen
8111,SK,Stuttgart
7337,LK,Südliche Weinstraße
7340,LK,Südwestpfalz
16054,SK,Suhl
12072,LK,Teltow-Fläming
9377,LK,Tirschenreuth
9189,LK,Traunstein
7211,SK,Trier
7235,LK,Trier-Saarburg
8416,LK,Tübingen
8327,LK,Tuttlingen
12073,LK,Uckermark
3360,LK,Uelzen
8421,SK,Ulm
5978,LK,Unna
16064,LK,Unstrut-Hainich-Kreis
9778,LK,Unterallgäu
3460,LK,Vechta
3361,LK,Verden
5166,LK,Viersen
6535,LK,Vogelsbergkreis
14523,LK,Vogtlandkreis
13075,LK,Vorpommern/Greifswald
13073,LK,Vorpommern/Rügen
7233,LK,Vulkaneifel
6635,LK,Waldeck-Frankenberg
8337,LK,Waldshut
5570,LK,Warendorf
16063,LK,Wartburgkreis
9363,SK,Weiden i.d.OPf.
9190,LK,Weilheim-Schongau
16055,SK,Weimar
16071,LK,Weimarer Land
9577,LK,Weißenburg-Gunzenhausen
6636,LK,Werra-Meißner-Kreis
5170,LK,Wesel
3461,LK,Wesermarsch
7143,LK,Westerwaldkreis
6440,LK,Wetteraukreis
6414,SK,Wiesbaden
3405,SK,Wilhelmshaven
15091,LK,Wittenberg
3462,LK,Wittmund
